character	guide_name	KEGG_pathway	nt_1_merged	nt_2_merged	targeting_1_merged	targeting_2_merged
essential	ileSb0026_184	K01870 IARS; isoleucyl-tRNA synthetase [EC:6.1.1.5]	435	476	876	822
essential	ileSb0026_506	K01870 IARS; isoleucyl-tRNA synthetase [EC:6.1.1.5]	530	583	665	845
essential	ileSb0026_812	K01870 IARS; isoleucyl-tRNA synthetase [EC:6.1.1.5]	620	647	124	180
essential	ileSb0026_1025	K01870 IARS; isoleucyl-tRNA synthetase [EC:6.1.1.5]	511	530	94	152
essential	ileSb0026_1260	K01870 IARS; isoleucyl-tRNA synthetase [EC:6.1.1.5]	617	664	65	91
essential	ileSb0026_1464	K01870 IARS; isoleucyl-tRNA synthetase [EC:6.1.1.5]	459	482	111	192
essential	ileSb0026_1932	K01870 IARS; isoleucyl-tRNA synthetase [EC:6.1.1.5]	609	596	393	485
essential	ileSb0026_2017	K01870 IARS; isoleucyl-tRNA synthetase [EC:6.1.1.5]	575	618	28	44
essential	ileSb0026_2438	K01870 IARS; isoleucyl-tRNA synthetase [EC:6.1.1.5]	621	666	507	662
essential	ileSb0026_2561	K01870 IARS; isoleucyl-tRNA synthetase [EC:6.1.1.5]	441	501	196	315
essential	lspAb0027_0	K03101 lspA; signal peptidase II [EC:3.4.23.36]	391	462	1	3
essential	lspAb0027_146	K03101 lspA; signal peptidase II [EC:3.4.23.36]	331	370	34	52
essential	lspAb0027_257	K03101 lspA; signal peptidase II [EC:3.4.23.36]	532	616	269	400
non-essential	fkpBb0028_216	K03774 slpA; FKBP-type peptidyl-prolyl cis-trans isomerase SlpA [EC:5.2.1.8]	404	428	485	529
essential	ispHb0029_53	K03527 ispH; 4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase [EC:1.17.7.4]	468	508	80	147
essential	ispHb0029_162	K03527 ispH; 4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase [EC:1.17.7.4]	429	476	6	5
essential	ispHb0029_223	K03527 ispH; 4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase [EC:1.17.7.4]	449	518	209	276
essential	ispHb0029_747	K03527 ispH; 4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase [EC:1.17.7.4]	558	603	29	37
essential	ispHb0029_917	K03527 ispH; 4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase [EC:1.17.7.4]	457	477	652	633
non-essential	rihCb0030_247	K12700 rihC; non-specific riboncleoside hydrolase [EC:3.2.-.-]	479	475	730	747
non-essential	rihCb0030_388	K12700 rihC; non-specific riboncleoside hydrolase [EC:3.2.-.-]	485	533	565	606
non-essential	rihCb0030_578	K12700 rihC; non-specific riboncleoside hydrolase [EC:3.2.-.-]	321	378	504	506
non-essential	rihCb0030_633	K12700 rihC; non-specific riboncleoside hydrolase [EC:3.2.-.-]	620	662	977	1026
non-essential	rihCb0030_755	K12700 rihC; non-specific riboncleoside hydrolase [EC:3.2.-.-]	626	591	787	831
essential	dapBb0031_186	K00215 dapB; 4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]	590	689	800	863
essential	dapBb0031_308	K00215 dapB; 4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]	516	573	937	891
essential	dapBb0031_355	K00215 dapB; 4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]	417	486	519	495
essential	dapBb0031_547	K00215 dapB; 4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]	354	419	146	128
essential	dapBb0031_716	K00215 dapB; 4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]	352	355	499	472
essential	dapBb0031_752	K00215 dapB; 4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]	432	495	178	197
non-essential	carAb0032_99	K01956 carA; carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]	338	349	418	410
non-essential	carAb0032_135	K01956 carA; carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]	451	474	186	271
non-essential	carAb0032_290	K01956 carA; carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]	518	515	889	899
non-essential	carAb0032_456	K01956 carA; carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]	451	478	440	501
non-essential	carAb0032_500	K01956 carA; carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]	558	642	141	170
non-essential	carAb0032_583	K01956 carA; carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]	435	408	571	639
non-essential	carAb0032_742	K01956 carA; carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]	302	304	241	284
non-essential	carAb0032_848	K01956 carA; carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]	551	578	324	427
non-essential	carAb0032_979	K01956 carA; carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]	604	634	988	1000
non-essential	carAb0032_1103	K01956 carA; carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]	391	434	622	613
non-essential	carBb0033_201	K01955 carB; carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]	531	544	947	834
non-essential	carBb0033_389	K01955 carB; carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]	543	598	613	695
non-essential	carBb0033_876	K01955 carB; carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]	432	439	467	555
non-essential	carBb0033_1052	K01955 carB; carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]	453	506	563	552
non-essential	carBb0033_1568	K01955 carB; carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]	453	491	699	748
non-essential	carBb0033_1862	K01955 carB; carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]	627	683	853	851
non-essential	carBb0033_2402	K01955 carB; carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]	384	400	649	587
non-essential	carBb0033_2667	K01955 carB; carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]	266	316	426	442
non-essential	carBb0033_3016	K01955 carB; carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]	398	437	462	483
non-essential	caiFb0034_56	K08277 caiF; transcriptional activator CaiF	528	561	791	911
non-essential	caiFb0034_156	K08277 caiF; transcriptional activator CaiF	376	371	484	599
non-essential	caiFb0034_225	K08277 caiF; transcriptional activator CaiF	431	448	357	500
non-essential	caiEb0035_451	K08279 caiE; carnitine operon protein CaiE	383	436	18	35
non-essential	caiEb0035_516	K08279 caiE; carnitine operon protein CaiE	462	466	710	699
non-essential	caiDb0036_24	K08299 caiD; crotonobetainyl-CoA hydratase [EC:4.2.1.149]	526	548	879	786
non-essential	caiDb0036_114	K08299 caiD; crotonobetainyl-CoA hydratase [EC:4.2.1.149]	558	589	816	895
non-essential	caiDb0036_264	K08299 caiD; crotonobetainyl-CoA hydratase [EC:4.2.1.149]	336	335	577	513
non-essential	caiDb0036_446	K08299 caiD; crotonobetainyl-CoA hydratase [EC:4.2.1.149]	546	615	901	1033
non-essential	caiDb0036_648	K08299 caiD; crotonobetainyl-CoA hydratase [EC:4.2.1.149]	506	519	832	891
non-essential	caiDb0036_697	K08299 caiD; crotonobetainyl-CoA hydratase [EC:4.2.1.149]	490	492	781	797
non-essential	caiCb0037_38	K02182 caiC; carnitine-CoA ligase [EC:6.2.1.48]	520	572	780	701
non-essential	caiCb0037_206	K02182 caiC; carnitine-CoA ligase [EC:6.2.1.48]	423	433	710	676
non-essential	caiCb0037_340	K02182 caiC; carnitine-CoA ligase [EC:6.2.1.48]	614	686	1055	1015
non-essential	caiCb0037_643	K02182 caiC; carnitine-CoA ligase [EC:6.2.1.48]	541	547	917	804
non-essential	caiCb0037_791	K02182 caiC; carnitine-CoA ligase [EC:6.2.1.48]	566	602	866	876
non-essential	caiCb0037_1090	K02182 caiC; carnitine-CoA ligase [EC:6.2.1.48]	429	488	495	625
non-essential	caiCb0037_1337	K02182 caiC; carnitine-CoA ligase [EC:6.2.1.48]	455	466	692	694
non-essential	caiCb0037_1450	K02182 caiC; carnitine-CoA ligase [EC:6.2.1.48]	388	449	504	573
non-essential	caiBb0038_98	K08298 caiB; L-carnitine CoA-transferase [EC:2.8.3.21]	525	536	865	920
non-essential	caiBb0038_190	K08298 caiB; L-carnitine CoA-transferase [EC:2.8.3.21]	325	323	548	424
non-essential	caiBb0038_305	K08298 caiB; L-carnitine CoA-transferase [EC:2.8.3.21]	358	362	470	594
non-essential	caiBb0038_438	K08298 caiB; L-carnitine CoA-transferase [EC:2.8.3.21]	366	416	463	602
non-essential	caiBb0038_609	K08298 caiB; L-carnitine CoA-transferase [EC:2.8.3.21]	528	585	864	943
non-essential	caiBb0038_916	K08298 caiB; L-carnitine CoA-transferase [EC:2.8.3.21]	527	557	664	696
non-essential	caiBb0038_1012	K08298 caiB; L-carnitine CoA-transferase [EC:2.8.3.21]	551	534	634	698
non-essential	caiBb0038_1151	K08298 caiB; L-carnitine CoA-transferase [EC:2.8.3.21]	482	533	510	561
non-essential	caiAb0039_13	K08297 caiA; crotonobetainyl-CoA dehydrogenase [EC:1.3.8.13]	392	439	653	634
non-essential	caiAb0039_299	K08297 caiA; crotonobetainyl-CoA dehydrogenase [EC:1.3.8.13]	616	645	1020	1065
non-essential	caiAb0039_347	K08297 caiA; crotonobetainyl-CoA dehydrogenase [EC:1.3.8.13]	484	596	798	856
non-essential	caiAb0039_603	K08297 caiA; crotonobetainyl-CoA dehydrogenase [EC:1.3.8.13]	590	597	82	155
non-essential	caiAb0039_796	K08297 caiA; crotonobetainyl-CoA dehydrogenase [EC:1.3.8.13]	254	244	374	352
non-essential	caiAb0039_891	K08297 caiA; crotonobetainyl-CoA dehydrogenase [EC:1.3.8.13]	428	529	589	689
non-essential	caiAb0039_930	K08297 caiA; crotonobetainyl-CoA dehydrogenase [EC:1.3.8.13]	602	666	699	750
non-essential	caiTb0040_146	K05245 caiT; L-carnitine/gamma-butyrobetaine antiporter	526	583	836	941
non-essential	caiTb0040_270	K05245 caiT; L-carnitine/gamma-butyrobetaine antiporter	25	29	8	3
non-essential	caiTb0040_455	K05245 caiT; L-carnitine/gamma-butyrobetaine antiporter	498	530	793	730
non-essential	caiTb0040_694	K05245 caiT; L-carnitine/gamma-butyrobetaine antiporter	402	413	591	556
non-essential	caiTb0040_885	K05245 caiT; L-carnitine/gamma-butyrobetaine antiporter	375	373	620	655
non-essential	caiTb0040_1013	K05245 caiT; L-carnitine/gamma-butyrobetaine antiporter	470	533	517	604
non-essential	caiTb0040_1075	K05245 caiT; L-carnitine/gamma-butyrobetaine antiporter	452	450	514	592
non-essential	caiTb0040_1229	K05245 caiT; L-carnitine/gamma-butyrobetaine antiporter	405	465	621	541
non-essential	caiTb0040_1475	K05245 caiT; L-carnitine/gamma-butyrobetaine antiporter	291	287	336	432
non-essential	fixAb0041_87	K03521 fixA; electron transfer flavoprotein beta subunit	476	492	785	780
non-essential	fixAb0041_143	K03521 fixA; electron transfer flavoprotein beta subunit	473	593	839	845
non-essential	fixAb0041_243	K03521 fixA; electron transfer flavoprotein beta subunit	341	382	614	560
non-essential	fixAb0041_412	K03521 fixA; electron transfer flavoprotein beta subunit	574	614	1005	961
non-essential	fixAb0041_639	K03521 fixA; electron transfer flavoprotein beta subunit	589	619	925	868
non-essential	fixAb0041_721	K03521 fixA; electron transfer flavoprotein beta subunit	310	336	521	529
non-essential	fixBb0042_74	K03522 fixB; electron transfer flavoprotein alpha subunit	361	452	640	674
non-essential	fixBb0042_147	K03522 fixB; electron transfer flavoprotein alpha subunit	447	498	731	699
non-essential	fixBb0042_273	K03522 fixB; electron transfer flavoprotein alpha subunit	535	563	836	797
non-essential	fixBb0042_344	K03522 fixB; electron transfer flavoprotein alpha subunit	550	593	967	980
non-essential	fixBb0042_596	K03522 fixB; electron transfer flavoprotein alpha subunit	659	702	1080	1084
non-essential	fixBb0042_734	K03522 fixB; electron transfer flavoprotein alpha subunit	473	534	735	779
non-essential	fixBb0042_811	K03522 fixB; electron transfer flavoprotein alpha subunit	555	603	882	945
non-essential	fixCb0043_86	K00313 fixC; electron transfer flavoprotein-quinone oxidoreductase [EC:1.5.5.-]	495	575	896	815
non-essential	fixCb0043_167	K00313 fixC; electron transfer flavoprotein-quinone oxidoreductase [EC:1.5.5.-]	355	410	619	559
non-essential	fixCb0043_372	K00313 fixC; electron transfer flavoprotein-quinone oxidoreductase [EC:1.5.5.-]	362	376	589	598
non-essential	fixCb0043_444	K00313 fixC; electron transfer flavoprotein-quinone oxidoreductase [EC:1.5.5.-]	390	415	655	700
non-essential	fixCb0043_584	K00313 fixC; electron transfer flavoprotein-quinone oxidoreductase [EC:1.5.5.-]	391	398	656	623
non-essential	fixCb0043_999	K00313 fixC; electron transfer flavoprotein-quinone oxidoreductase [EC:1.5.5.-]	456	502	692	679
non-essential	fixCb0043_1096	K00313 fixC; electron transfer flavoprotein-quinone oxidoreductase [EC:1.5.5.-]	583	546	818	840
non-essential	fixCb0043_1223	K00313 fixC; electron transfer flavoprotein-quinone oxidoreductase [EC:1.5.5.-]	540	539	902	871
non-essential	fixXb0044_23	K03855 fixX; ferredoxin like protein	606	673	1076	1042
non-essential	yaaUb0045_78	K08368 yaaU; MFS transporter, putative metabolite transport protein	455	464	697	677
non-essential	yaaUb0045_196	K08368 yaaU; MFS transporter, putative metabolite transport protein	30	30	66	54
non-essential	yaaUb0045_535	K08368 yaaU; MFS transporter, putative metabolite transport protein	337	353	555	606
non-essential	yaaUb0045_612	K08368 yaaU; MFS transporter, putative metabolite transport protein	618	694	1102	952
non-essential	yaaUb0045_704	K08368 yaaU; MFS transporter, putative metabolite transport protein	365	431	574	653
non-essential	yaaUb0045_845	K08368 yaaU; MFS transporter, putative metabolite transport protein	404	428	699	625
non-essential	yaaUb0045_1057	K08368 yaaU; MFS transporter, putative metabolite transport protein	410	356	548	514
non-essential	yaaUb0045_1127	K08368 yaaU; MFS transporter, putative metabolite transport protein	416	426	714	654
non-essential	yaaUb0045_1217	K08368 yaaU; MFS transporter, putative metabolite transport protein	343	366	604	559
non-essential	kefFb0046_94	K11746 kefF; glutathione-regulated potassium-efflux system ancillary protein KefF	501	573	796	827
non-essential	kefFb0046_213	K11746 kefF; glutathione-regulated potassium-efflux system ancillary protein KefF	447	530	630	694
non-essential	kefFb0046_335	K11746 kefF; glutathione-regulated potassium-efflux system ancillary protein KefF	421	475	696	726
non-essential	kefFb0046_431	K11746 kefF; glutathione-regulated potassium-efflux system ancillary protein KefF	489	533	883	811
non-essential	kefCb0047_73	K11745 kefC; glutathione-regulated potassium-efflux system ancillary protein KefC	425	473	825	671
non-essential	kefCb0047_193	K11745 kefC; glutathione-regulated potassium-efflux system ancillary protein KefC	470	459	723	702
non-essential	kefCb0047_403	K11745 kefC; glutathione-regulated potassium-efflux system ancillary protein KefC	433	449	333	352
non-essential	kefCb0047_664	K11745 kefC; glutathione-regulated potassium-efflux system ancillary protein KefC	541	536	799	794
non-essential	kefCb0047_883	K11745 kefC; glutathione-regulated potassium-efflux system ancillary protein KefC	252	281	486	366
non-essential	kefCb0047_958	K11745 kefC; glutathione-regulated potassium-efflux system ancillary protein KefC	494	508	747	797
non-essential	kefCb0047_1321	K11745 kefC; glutathione-regulated potassium-efflux system ancillary protein KefC	465	487	322	401
non-essential	kefCb0047_1586	K11745 kefC; glutathione-regulated potassium-efflux system ancillary protein KefC	455	434	548	604
non-essential	kefCb0047_1732	K11745 kefC; glutathione-regulated potassium-efflux system ancillary protein KefC	320	326	332	301
essential	folAb0048_81	K00287 DHFR; dihydrofolate reductase [EC:1.5.1.3]	486	578	15	30
essential	folAb0048_213	K00287 DHFR; dihydrofolate reductase [EC:1.5.1.3]	503	474	147	248
non-essential	apaHb0049_47	K01525 apaH; bis(5'-nucleosyl)-tetraphosphatase (symmetrical) [EC:3.6.1.41]	459	491	38	53
non-essential	apaHb0049_138	K01525 apaH; bis(5'-nucleosyl)-tetraphosphatase (symmetrical) [EC:3.6.1.41]	513	594	50	83
non-essential	apaHb0049_423	K01525 apaH; bis(5'-nucleosyl)-tetraphosphatase (symmetrical) [EC:3.6.1.41]	387	371	103	203
non-essential	apaHb0049_565	K01525 apaH; bis(5'-nucleosyl)-tetraphosphatase (symmetrical) [EC:3.6.1.41]	569	600	521	546
non-essential	apaHb0049_648	K01525 apaH; bis(5'-nucleosyl)-tetraphosphatase (symmetrical) [EC:3.6.1.41]	531	542	621	752
